,ID,NEW_SMILES,HBA,HBD,RB,LogP,TPSA,MW,Library
0,ADM 13084045,Cc1cc(=O)n2[nH]c(C3CCCN3C(=O)CC3CC(C)(C)OC3=O)cc2n1,6,1,3,1.7263199999999994,96.77,372.4250000000001,Asinex
1,ADM 13084859,CCc1cc(=O)n2[nH]c(C3CCCN3C(=O)CCCn3nc(C)cc3C)cc2n1,6,1,6,2.5422399999999996,88.29,396.4950000000001,Asinex
2,ADM 18391426,Cc1cccc(CN2CCCCC2c2cc3[nH]c(C)c(C)c(=O)n3n2)n1,5,1,3,3.0700600000000007,66.29,351.45400000000006,Asinex
3,ADM 18391574,CCCc1ncc(CN2CCCCC2c2cc3[nH]c(C)c(C)c(=O)n3n2)cn1,6,1,5,3.109140000000001,79.18,380.4960000000001,Asinex
4,ADM 18394048,Cc1[nH]c2cc(C3CCCCN3C(=O)Cc3ccccn3)nn2c(=O)c1C,5,1,3,2.3307400000000005,83.36000000000001,365.43700000000007,Asinex
5,ADM 18394185,Cc1[nH]c2cc(C3CCCCN3C(=O)C3CCOC3)nn2c(=O)c1C,5,1,2,1.7295399999999999,79.69999999999999,344.4150000000001,Asinex
6,ADM 18650292,Cc1cc2[nH]c(C3CCN(C(=O)c4ccccn4)C3)cc(=O)n2n1,5,1,2,1.35572,83.36,323.35600000000005,Asinex
7,ADM 18650364,Cc1cc2[nH]c(C3CCN(C(=O)c4sc(C)nc4C)C3)cc(=O)n2n1,6,1,2,2.03406,83.36,357.43900000000014,Asinex
8,ADM 18650376,Cc1cc2[nH]c(C3CCN(C(=O)c4cc[nH]n4)C3)cc(=O)n2n1,5,2,2,0.6838199999999997,99.14999999999999,312.333,Asinex
9,ADM 18650560,Cc1cc2[nH]c(C3CCN(C(=O)c4oc(C)nc4C)C3)cc(=O)n2n1,6,1,2,1.5655599999999998,96.5,341.37100000000004,Asinex
10,ADM 18650566,Cc1cc2[nH]c(C3CCN(C(=O)c4ccn(C)n4)C3)cc(=O)n2n1,6,1,2,0.6942199999999998,88.29,326.36000000000007,Asinex
11,ADM 19177239,O=C(CCC1CCCC1)N1CCCC(C2CC(C(F)(F)F)n3ncnc3N2)C1,5,1,4,3.774700000000002,63.050000000000004,399.461,Asinex
12,AEM 12514192,O=C(CN1C(=O)N2CCN=C2c2cnn(-c3ccccc3)c21)NCc1ccco1,6,1,5,1.7838999999999998,95.97000000000001,390.40300000000013,Asinex
13,AEM 12514195,O=C(CN1C(=O)N2CCN=C2c2cnn(-c3ccccc3)c21)NC1CCCCC1,5,1,4,2.3233999999999995,82.83000000000001,392.46300000000025,Asinex
14,AEM 12514196,CC1CCCCC1NC(=O)CN1C(=O)N2CCN=C2c2cnn(-c3ccccc3)c21,5,1,4,2.5694,82.83000000000001,406.49000000000007,Asinex
15,AEM 12514201,O=C(CN1C(=O)N2CCN=C2c2cnn(-c3ccccc3)c21)Nc1ccccc1F,5,1,4,2.6523000000000003,82.83000000000001,404.4050000000001,Asinex
16,AEM 12514203,O=C(CN1C(=O)N2CCN=C2c2cnn(-c3ccccc3)c21)NCc1cccs1,6,1,5,2.2523999999999997,82.83000000000001,406.4710000000001,Asinex
17,AEM 12514206,O=C(CN1C(=O)N2CCN=C2c2cnn(-c3ccccc3)c21)NCC1CC1,5,1,5,1.4006999999999994,82.83000000000001,364.40900000000016,Asinex
18,AEM 12514207,COc1cccc(CNC(=O)CN2C(=O)N3CCN=C3c3cnn(-c4ccccc4)c32)c1,6,1,6,2.1994999999999996,92.06,430.4680000000001,Asinex
19,AEM 12514209,CCCNC(=O)CN1C(=O)N2CCN=C2c2cnn(-c3ccccc3)c21,5,1,5,1.4007,82.83000000000001,352.398,Asinex
20,AEM 12514218,O=C(CN1C(=O)N2CCN=C2c2cnn(-c3ccccc3)c21)NC1CCCC1,5,1,4,1.9332999999999996,82.83000000000001,378.4360000000002,Asinex
21,AEM 12514235,O=C(CN1C(=O)N2CCN=C2c2cnn(-c3ccccc3)c21)NCc1cccc(F)c1,5,1,5,2.33,82.83000000000001,418.43200000000013,Asinex
22,AEM 12648327,Cc1ccc(-n2ncc3c2N(CC(=O)NCc2ccco2)C(=O)N2CCN=C32)cc1,6,1,5,2.09232,95.97,404.4300000000002,Asinex
23,AEM 12648329,Cc1ccc(-n2ncc3c2N(CC(=O)NC2CCCCC2)C(=O)N2CCN=C32)cc1,5,1,4,2.631820000000001,82.83,406.49000000000024,Asinex
24,AEM 12648335,Cc1ccc(-n2ncc3c2N(CC(=O)Nc2ccccc2F)C(=O)N2CCN=C32)cc1,5,1,4,2.960720000000001,82.83,418.4320000000002,Asinex
25,AEM 12648337,Cc1ccc(-n2ncc3c2N(CC(=O)NCc2cccs2)C(=O)N2CCN=C32)cc1,6,1,5,2.5608200000000005,82.83,420.49800000000016,Asinex
