,ID,NEW_SMILES,HBA,HBD,RB,LogP,TPSA,MW,Library
0,G663-0083,CCc1ccc(NC(=O)Cn2cnc3nc4c(cc3c2=O)CCCC4)cc1,5,1,4,2.8714000000000013,76.88,362.4330000000002,ChemDiv
1,K823-2623,Cc1ccc(NC(=O)c2sc3ncn(CC(=O)N4CCN(c5ccccn5)CC4)c(=O)c3c2C)cc1F,8,1,5,3.210040000000002,100.43,520.5900000000004,ChemDiv
2,G267-0156,CCOC(=O)c1cccc(NC(=O)c2cc3c(=O)n(Cc4cccnc4)ccc3nc2C)c1,7,1,6,3.5772200000000023,103.18,442.47500000000014,ChemDiv
3,K786-8866,CCCCNC(=O)c1ccc2c(c1)ncn2C1CCCCC1,3,1,5,4.071400000000003,46.92,299.4180000000001,ChemDiv
4,K940-0600,O=C(CN1CCN(c2ccccn2)CC1)Nc1ccc(OCc2ccccc2)cc1,5,1,7,3.4213000000000022,57.7,402.49800000000016,ChemDiv
5,5695-0890,CC(=O)OCCN=c1[nH]c(-c2ccccc2)nc2ccccc12,4,1,4,2.6937000000000006,67.34,307.35300000000007,ChemDiv
6,E760-6020,Cc1ccc(Cl)cc1N1CCN(C(=O)c2ccc(C)c(-n3c(C)nc4cccnc43)c2)CC1,5,0,3,4.961560000000005,54.260000000000005,459.9810000000003,ChemDiv
7,G267-0225,Cc1nc2ccn(Cc3cccnc3)c(=O)c2cc1C(=O)NCc1ccccc1,5,1,5,3.078220000000001,76.88,384.43900000000014,ChemDiv
8,G267-1113,CCOC(=O)c1cccc(NC(=O)c2cc3c(=O)n(Cc4ccccc4)ccc3nc2C)c1,6,1,6,4.182220000000004,90.29,441.48700000000014,ChemDiv
9,C696-0860,CCN(C(=O)Cn1nc(Cc2ccncc2)c2ccccc2c1=O)c1ccc(OC)cc1,6,0,7,3.4440000000000017,77.32000000000001,428.4920000000002,ChemDiv
10,C369-0083,COc1ccc2nc3oc(C(=O)N4CCC5(CC4)OCCO5)cc3cc2c1,6,0,2,2.968700000000002,74.03000000000002,368.3890000000001,ChemDiv
11,E760-3187,CCc1nc2cccnc2n1-c1ccc(CC(=O)Nc2cccc(C)c2C)cc1,4,1,5,4.780940000000004,59.81,384.4830000000001,ChemDiv
12,K788-6916,CCc1cccc(NC(=O)CN2C(=O)CN=C(c3ccccc3F)c3cc(Cl)ccc32)c1,3,1,5,4.864200000000004,61.77,449.91300000000007,ChemDiv
13,C382-0236,Cc1ccc(S(=O)(=O)NCc2ccc(C(=O)N3CCN(c4ccccn4)CC3)cc2)cc1,5,1,6,2.8309200000000017,82.61,450.56400000000025,ChemDiv
14,C614-6068,CCCn1c(CCC(=O)Nc2cc(Cl)c(OC)cc2OC)nc2cccnc21,6,1,8,4.083200000000003,78.27000000000001,402.8820000000001,ChemDiv
15,G663-0362,Cc1c(Cl)cccc1NC(=O)Cn1cnc2nc3c(cc2c1=O)CCCC3,5,1,3,3.2708200000000014,76.88,382.8510000000003,ChemDiv
16,C303-0493,COc1ccc2nc3sc(C(=O)Nc4ccccc4F)cc3cc2c1,4,1,3,4.849500000000003,51.22,352.3900000000001,ChemDiv
17,E760-6047,Cc1cccc(CNC(=O)c2ccc(C)c(-n3c(C)nc4cccnc43)c2)c1,4,1,4,4.275760000000004,59.81,370.4560000000001,ChemDiv
18,D715-1387,Cc1c(OCC(=O)NCC2CCC(C(=O)O)CC2)ccc2c(-c3ccccc3)cc(=O)oc12,5,2,7,4.154420000000003,105.83999999999999,449.50300000000016,ChemDiv
19,D715-0621,Cc1c(OC(C)C(=O)NC(C(=O)O)c2ccccc2)ccc2c3c(c(=O)oc12)CCCC3,5,2,6,3.6896200000000023,105.83999999999999,435.47600000000034,ChemDiv
20,G267-0534,Cc1nc2ccn(Cc3ccco3)c(=O)c2cc1C(=O)NCc1ccccc1F,5,1,5,3.415320000000002,77.13,391.4020000000001,ChemDiv
21,C204-0236,CCCCNC(=O)CCC(=O)Nc1ccc2nc(N3CCN(C)CC3)cc(C)c2c1,5,2,8,2.9300200000000016,77.57,411.55000000000024,ChemDiv
22,K783-0577,Cc1ccc(-n2cnc3cc(C(=O)NC4CCCCCC4)ccc32)cc1Cl,3,1,3,5.439920000000004,46.92,381.90700000000015,ChemDiv
23,D715-1258,CCc1cc(=O)oc2cc(OC(C)C(=O)NCC3CCC(C(=O)O)CC3)c(Cl)cc12,5,2,7,3.7833000000000023,105.83999999999999,435.9040000000003,ChemDiv
24,G730-0571,Cc1ccc(C)c(CNC(=O)c2ccc3c(c2)nc2n3CCC(C)C2)c1,3,1,3,4.165440000000003,46.92,347.46200000000016,ChemDiv
25,C095-0330,CCOc1ccc(C(=O)Nc2ccc3nc(N4CCN(CC)CC4)cc(C)c3c2)cc1,5,1,6,4.336120000000004,57.7,418.5410000000002,ChemDiv
26,D724-0341,Cc1cc(C)c2c(n1)nn1c(N3CCN(c4ccccn4)CC3)cc(C)nc21,7,0,2,2.924360000000001,62.45,373.46400000000017,ChemDiv
27,G832-0161,COc1ccc(Cn2c(CNS(=O)(=O)c3ccc4c(c3)CCCC4)nc3cccnc32)cc1,6,1,7,3.845500000000003,86.11,462.57500000000033,ChemDiv
28,G267-0351,Cc1nc2ccn(Cc3cccs3)c(=O)c2cc1C(=O)N1CCN(c2ccccc2F)CC1,6,0,4,3.9162200000000027,58.440000000000005,462.5500000000003,ChemDiv
29,C614-6282,COc1cc(Cl)c(NC(=O)CCc2nc3cccnc3n2-c2ccccc2)c(OC)c1,6,1,7,4.662400000000003,78.27,436.8990000000001,ChemDiv
30,C095-0336,CCN1CCN(c2cc(C)c3cc(NC(=O)c4cccc(C(F)(F)F)c4)ccc3n2)CC1,4,1,4,4.9562200000000045,48.47,442.4850000000001,ChemDiv
31,8015-2154,CCOc1cc2c(cc1OCC)-n1cccc1C(c1ccc(OC)c(OC)c1)NC2,6,1,7,4.484500000000003,53.88000000000001,408.49800000000016,ChemDiv
32,G267-0022,COc1ccc(Cn2ccc3nc(C)c(C(=O)Nc4ccc(F)cc4)cc3c2=O)cc1,5,1,5,4.153220000000003,73.22,417.4400000000001,ChemDiv
33,G721-0120,CC(C)c1cnc2c(c1SCC(=O)c1ccccc1)c(=O)n(C)c(=O)n2C,7,0,5,2.730600000000001,73.96000000000001,383.4730000000001,ChemDiv
34,C204-0292,CCCN(CCC)CCNC(=O)CCC(=O)Nc1ccc2nc(N3CCN(C)CC3)cc(C)c2c1,6,2,12,3.251920000000002,80.81,482.6730000000003,ChemDiv
35,C155-0487,Cc1cc(C)c(S(=O)(=O)N2CCCCC2C(=O)O)c(C)c1,3,1,3,2.2396600000000007,74.68,311.40299999999996,ChemDiv
36,G267-1215,CCOc1ccccc1CNC(=O)c1cc2c(=O)n(Cc3ccccc3)ccc2nc1C,5,1,7,4.081920000000003,73.22,427.50400000000013,ChemDiv
37,G721-0080,Cc1ccc(CNC(=O)CSc2c(C(C)C)cnc3c2c(=O)n(C)c(=O)n3C)cc1,7,1,6,2.4725200000000003,85.99000000000001,426.5420000000002,ChemDiv
38,C614-6259,O=C(CCc1nc2cccnc2n1-c1ccccc1)Nc1ccc(Cl)c(Cl)c1,4,1,5,5.298600000000003,59.81,411.29200000000014,ChemDiv
39,6635-0381,Cc1ccc(N=c2[nH]c(-c3ccc(C)cc3)c(CC(=O)O)s2)cc1,3,2,4,4.219540000000002,65.45,338.432,ChemDiv
40,C769-1066,CCOc1ccc2ncc(S(=O)(=O)c3ccccc3)c(N3CCN(c4ccccc4)CC3)c2c1,6,0,6,4.792900000000004,62.74,473.5980000000003,ChemDiv
41,C561-0810,Cc1nc2c(-c3ccc(F)cc3)c(C)nn2c(C)c1CCC(=O)N1CCN(c2ccccn2)CC1,6,0,5,4.137060000000003,66.63000000000001,472.5680000000003,ChemDiv
42,G857-1019,CCc1cnc2c(c1SCC(=O)c1ccc(Cl)cc1)c(=O)n(C)c(=O)n2C,7,0,5,2.8230000000000013,73.96000000000001,403.89100000000013,ChemDiv
43,K894-0063,COc1ccccc1-n1cnc2cc(C(=O)NCCCN3CCOCC3)ccc21,6,1,7,2.4862,68.62,394.47500000000025,ChemDiv
44,C696-1072,O=C(Cn1nc(Cc2cccnc2)c2ccccc2c1=O)N1CCN(c2ccc(F)cc2)CC1,6,0,5,2.8702000000000014,71.32999999999998,457.5090000000003,ChemDiv
45,C326-0265,COc1cccc2c1OC1(C)CC2NC(=O)N1c1cccc(C(=O)N2CCN(c3ccccn3)CC2)c1,6,1,4,3.822200000000003,87.24,499.5710000000003,ChemDiv
46,E760-5277,Cc1nc2cccnc2n1-c1cccc(C(=O)NCCc2ccc(Cl)cc2)c1,4,1,5,4.354820000000004,59.81,390.874,ChemDiv
47,C204-0389,CCN1CCN(c2cc(C)c3cc(NC(=O)CCC(=O)N4CCN(c5ccccc5OC)CC4)ccc3n2)CC1,7,1,8,3.7612200000000025,81.25,544.7000000000002,ChemDiv
48,F115-0192,Cc1nc2cccnc2n1C1CCN(S(=O)(=O)c2ccc(Cl)cc2)CC1,5,0,3,3.4189200000000026,68.09,390.8960000000001,ChemDiv
49,E643-0129,CCC(Sc1nc2cccnc2[nH]1)C(=O)NC1CCC(C)CC1,4,2,5,3.523500000000002,70.67,332.47300000000024,ChemDiv
50,K783-0347,Cc1ccc(-n2cnc3cc(C(=O)NC4CCCCCC4)ccc32)c(C)c1,3,1,3,5.094940000000005,46.92,361.48900000000015,ChemDiv
51,G786-1311,Cc1ccc(S(=O)(=O)CCC(=O)N=c2[nH]c(-c3cccnc3)cs2)cc1,5,1,5,2.737920000000001,92.25,387.486,ChemDiv
