,ID,NEW_SMILES,HBA,HBD,RB,LogP,TPSA,MW,Library
0,Z45658644,O=C(O)CNS(=O)(=O)c1ccc2c(c1)OCCCO2,5,2,4,0.21079999999999988,101.93,287.29300000000006,Enamine
1,Z286087918,NC(=O)NC(=O)CNc1cccc(OC(F)(F)F)c1,4,3,4,1.1919999999999995,93.45,277.202,Enamine
2,Z132929574,Cc1ccccc1NS(=O)(=O)c1cc(C(=O)O)cs1,4,2,4,2.5555200000000005,83.47,297.35699999999997,Enamine
3,Z86179043,COc1ccc(Br)cc1CNCCNC(=O)C(C)C,3,2,7,2.3194999999999997,50.36,329.23800000000006,Enamine
4,Z386898340,Cc1ccc(-c2cc(CSCCC(=O)O)on2)cc1,4,1,6,3.357920000000001,63.33,277.34499999999997,Enamine
5,Z85883937,CSc1ccc(Cl)c(C(=O)NC(C(=O)O)C(C)O)c1,4,3,5,1.6257,86.63000000000001,303.767,Enamine
6,Z85889072,COc1ccccc1OCC(=O)NCCCC(=O)O,4,2,8,1.055,84.86,267.2809999999999,Enamine
7,Z275588368,CCOc1ccc(Br)cc1S(=O)(=O)NC(CC)CO,4,2,7,1.8969999999999998,75.63000000000001,352.2500000000001,Enamine
8,Z57324784,O=C(Nc1ccccc1F)C1=CCCCC1C(=O)O,2,2,3,2.5753000000000004,66.4,263.2679999999999,Enamine
9,Z90311633,O=C(Nc1ccc(Cl)cc1)C1=CCCCC1C(=O)O,2,2,3,3.089600000000001,66.4,279.72299999999996,Enamine
10,Z31721099,O=C(c1n[nH]c(=O)c2ccccc12)N1CCOCC1,4,1,1,0.39549999999999996,75.29,259.265,Enamine
11,Z369309362,CC(NS(=O)(=O)c1ccccc1F)c1ccc(Cl)s1,3,1,4,3.5801000000000016,46.17,319.81,Enamine
12,Z56831256,O=C(O)CC1(CC(=O)NC2CCN(Cc3ccccc3)CC2)CCCC1,3,2,7,3.192400000000001,69.63999999999999,358.48200000000026,Enamine
13,Z301841196,NS(=O)(=O)N1CCN(C(=O)c2ccc(Cl)cc2)CC1,3,1,2,0.301300000000001,83.71000000000001,303.7710000000001,Enamine
14,Z3038062412,CNC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,2,4,4,1.0925999999999993,94.22000000000001,261.281,Enamine
