,ID,NEW_SMILES,HBA,HBD,RB,LogP,TPSA,MW,Library
0,F6386-0474,NC(O)c1cc(O)n(C2CCOCC2)c1,5,3,2,0.49480000000000035,80.64,212.24899999999994,Life_Chemicals
1,F9995-2584,CC(C)(C)OC(=O)N1CCC(N2CCC(N)C2)CC1,4,1,1,1.4189,58.8,269.38899999999995,Life_Chemicals
2,F6466-0273,O=C1NCCCc2[nH]c(=NC(=O)C3CC=CCC3)sc21,3,2,1,1.5357999999999994,74.32,291.376,Life_Chemicals
3,F9995-2115,CS(=O)(=O)c1ccc(CCCN)cc1,3,1,4,0.9814,60.16,213.30199999999996,Life_Chemicals
4,F9995-2576,COc1ccc(C(O)CN)cc1OC,4,2,4,0.6959000000000002,64.71000000000001,197.23399999999995,Life_Chemicals
5,F9995-1842,NCC(CC(=O)O)c1cccnc1,3,2,4,0.5985999999999996,76.21000000000001,180.207,Life_Chemicals
6,F9995-1827,NCc1cnco1,3,1,1,0.13330000000000003,52.05,98.10499999999998,Life_Chemicals
7,F6448-0520,Oc1ccc(C(O)Nc2cnn(C3CCOC3)c2)[nH]1,6,4,4,0.9811999999999996,95.33000000000001,264.28499999999997,Life_Chemicals
8,F0915-1528,Cn1c(=O)c2c([nH]c(=N)n2C)n(C)c1=O,6,2,0,-1.6167299999999996,88.57,209.20899999999997,Life_Chemicals
9,F3260-0411,CCC(C)N=c1[nH]c2c(c(=O)[nH]c(=O)n2C)n1CC,5,2,3,0.07550000000000034,87.94,265.317,Life_Chemicals
10,F0138-0468,CC(=O)N=c1[nH]c2c(s1)C(=O)NCCC2,3,2,0,0.19939999999999958,74.32,225.27299999999997,Life_Chemicals
11,F2147-1643,NCC(O)Cn1ccccc1=O,4,2,3,-0.8321000000000007,68.25,168.196,Life_Chemicals
12,F2189-0565,Cc1ccc(C(O)CN)o1,3,2,2,0.58012,59.39,141.17000000000002,Life_Chemicals
13,F6247-1945,NC(=O)C1CCN(c2ncc3c(=O)n(C4CCCC4)c(=O)[nH]c3n2)CC1,7,2,3,0.2965999999999987,126.96999999999998,358.40200000000016,Life_Chemicals
14,F6466-0328,O=C(Cc1cccnc1)N=c1[nH]c2c(s1)C(=O)NCCC2,4,2,2,0.8171999999999998,87.21000000000001,302.3590000000001,Life_Chemicals
15,F1957-0076,CN1CCN(c2ccnc(C(=O)O)c2)CC1,4,1,2,0.5315999999999999,56.67,221.25999999999996,Life_Chemicals
16,F6254-0056,CC(=O)N=c1[nH]c2c(s1)COCC2,3,1,0,0.5960999999999999,54.45,198.24699999999996,Life_Chemicals
17,F1967-1327,O=C(O)c1ccc(N2CCOCC2)nn1,5,1,2,0.011399999999999855,75.55,209.20499999999996,Life_Chemicals
18,F2716-0804,CCc1c(C)[nH]c(SCC(N)=O)nc1=O,4,2,4,0.21812000000000004,88.84,227.28899999999996,Life_Chemicals
19,F6125-1839,CC(=O)N1CC(C(N)=O)C1,2,1,1,-1.05,63.4,142.158,Life_Chemicals
20,F6465-0188,O=C(NCC(O)Cn1ccccc1=O)c1ccco1,5,2,5,0.23219999999999885,84.47,262.26500000000004,Life_Chemicals
21,F6455-1212,Cn1nc(CCC(=O)NCc2cccs2)ccc1=O,5,1,5,1.0907999999999995,63.99,277.34900000000005,Life_Chemicals
22,F3308-2740,Cc1cc(=O)n(CCC(=O)O)c(=N)[nH]1,4,3,3,-0.56101,98.94,197.19400000000005,Life_Chemicals
23,F9995-0360,CC1=Nc2ccc(CCC(=O)O)cc2C1(C)C,2,1,3,3.0874000000000015,49.66,231.29499999999996,Life_Chemicals
24,F2189-0569,Cc1ccsc1C(O)CN,3,2,2,1.0486199999999999,46.25,157.23799999999997,Life_Chemicals
25,F2805-0131,Cc1cnc2c(c1SCC(=O)O)c(=O)n(C)c(=O)n2C,7,1,3,0.11731999999999965,94.19,295.32,Life_Chemicals
26,F6465-0013,O=C(NCC(O)Cn1ccccc1=O)c1ccc(=O)[nH]c1,5,3,5,-0.6725000000000012,104.19,289.291,Life_Chemicals
27,F2867-0374,NC(=O)CSc1nc(=O)n(CCCO)c2c1CCCC2,6,2,6,0.08189999999999964,98.21000000000002,297.38000000000005,Life_Chemicals
28,F6466-0286,O=C(Cn1cncn1)N=c1[nH]c2c(s1)C(=O)NCCC2,6,2,2,-0.5287999999999997,105.03,292.3240000000001,Life_Chemicals
29,F2716-0418,CCc1cc(=O)[nH]c(SCC(=O)NC(C)(C)C)n1,4,2,4,1.3390999999999997,74.85,269.36999999999995,Life_Chemicals
30,F2102-0060,NC1CCCCC1C(=O)O,2,2,1,0.5884999999999998,63.32000000000001,143.186,Life_Chemicals
31,F2381-0356,Cc1nonc1CN,4,1,1,-0.16327999999999998,64.94,113.12,Life_Chemicals
32,F3260-0726,CCn1c(=NCC(C)O)[nH]c2c1c(=O)n(C)c(=O)n2C,7,2,3,-1.3317999999999977,97.31,281.316,Life_Chemicals
33,F2145-0111,c1cncc(-c2noc(C3CNC3)n2)c1,5,1,2,0.8184,63.84,202.217,Life_Chemicals
34,F2199-0004,Cc1cc(=O)n2c(CCN)csc2n1,5,1,2,0.5656199999999999,60.39,209.274,Life_Chemicals
35,F1967-1102,CCn1nc(C(=O)O)ccc1=O,4,1,2,-0.0385999999999998,72.19,168.15199999999996,Life_Chemicals
36,F1967-0260,CC(C)c1cc(=O)n(CC(=O)O)cn1,4,1,3,0.4513,72.19,196.206,Life_Chemicals
37,F3376-1659,Cn1c(=O)c2c(nc3n2CCN3CC(N)=O)n(C)c1=O,8,1,2,-2.2609999999999983,108.15,278.272,Life_Chemicals
38,F1967-1331,O=C(O)CCc1ccc(=O)[nH]n1,3,2,3,-0.21290000000000003,83.05,168.15200000000002,Life_Chemicals
39,F2101-0140,Cn1cc(C(O)O)cc1O,4,3,1,-0.28609999999999997,65.62,143.14199999999997,Life_Chemicals
40,F2189-0677,NCC1(O)CCOCC1,3,2,1,-0.5134000000000003,55.480000000000004,131.17499999999998,Life_Chemicals
41,F2150-0021,CC(C)c1csc(CCN)n1,3,1,3,1.7676999999999998,38.91,170.28099999999998,Life_Chemicals
42,F2147-0844,CN1CC(CN)CC1=O,2,1,1,-0.5766000000000002,46.33,128.175,Life_Chemicals
43,F2158-1427,CC(C)N=c1[nH]c(C(=O)O)cs1,3,2,2,1.0835,65.45,186.23600000000002,Life_Chemicals
44,F3376-1619,Cn1c(=O)c2c(nc3n2CCN3)n(C)c1=O,7,1,0,-1.1408,73.85,221.22,Life_Chemicals
45,F2147-0927,Cn1cc(C(N)O)cc1O,4,3,1,-0.3197000000000001,71.41,142.158,Life_Chemicals
46,F9995-0480,COc1ccc(C(=O)C(O)O)cc1O,5,3,3,-0.10580000000000006,86.99000000000001,198.174,Life_Chemicals
47,F0722-8596,O=c1cccc2n1CC1CNCC2C1,3,1,0,0.5549999999999999,34.03,190.24599999999998,Life_Chemicals
48,F1468-0042,Cn1c(=O)c2[nH]c(CN3CCCCC3)nc2n(C)c1=O,6,1,2,-0.053800000000000514,75.92,277.328,Life_Chemicals
49,F2711-2609,CC(O)Cn1cc2c(c1O)C(c1ccc(O)cc1)NC(=O)N2C,5,4,3,1.5288999999999997,97.96,317.3450000000001,Life_Chemicals
50,F3260-0412,CCn1c(=NCC(C)C)[nH]c2c1c(=O)[nH]c(=O)n2C,5,2,3,-0.06699999999999945,87.94,265.317,Life_Chemicals
51,F1468-0057,CC1CCN(Cc2nc3c(=O)n(C)c(=O)n(C)c3[nH]2)CC1,6,1,2,0.19220000000000043,75.92,291.355,Life_Chemicals
52,F2158-0440,N=c1[nH]c2c(s1)CCC2C(=O)O,3,3,1,0.6700699999999999,76.94,184.22,Life_Chemicals
53,F9995-1757,COc1cc(C(=O)O)c(N)cc1O,4,3,2,0.6812,92.78,183.16299999999998,Life_Chemicals
54,F2189-0575,COc1ccc(CC(C)(O)CN)cc1,3,2,4,0.9474,55.480000000000004,195.262,Life_Chemicals
55,F2805-1648,Cn1c(=O)c2c(SCC(=O)NC3CCCC3)ccnc2n(C)c1=O,7,1,4,0.7830999999999997,85.99000000000001,348.42800000000005,Life_Chemicals
56,F1967-0853,Cc1ccc(=O)n(CC(=O)O)n1,4,1,2,-0.3636800000000003,72.19,168.15200000000002,Life_Chemicals
57,F2135-0895,CCc1c(C)[nH]c(-n2[nH]c(C)cc2=N)nc1=O,4,3,2,0.5474100000000002,90.32,233.275,Life_Chemicals
58,F3305-0600,CC1CCc2[nH]nc(C(=O)O)c2C1,2,2,1,1.2327000000000001,65.98,180.207,Life_Chemicals
59,F6210-0014,O=C1CC(NC(=O)c2ccc[nH]c2=O)CN1,3,3,2,-1.0067999999999995,91.06,221.216,Life_Chemicals
60,F3358-0161,Cc1cc(SCC(=O)O)ncn1,4,1,3,0.9617199999999999,63.08,184.22000000000003,Life_Chemicals
61,F3379-0292,Cc1cc(C#N)c(=O)[nH]c1C,2,1,0,0.86342,56.65,148.165,Life_Chemicals
62,F1468-0011,CN(C)Cc1nc2c(=O)n(C)c(=O)n(C)c2[nH]1,6,1,2,-0.9780999999999993,75.92,237.26299999999998,Life_Chemicals
63,F1468-0068,CC1CCCN(Cc2nc3c(=O)n(C)c(=O)n(C)c3[nH]2)C1,6,1,2,0.19220000000000043,75.92,291.355,Life_Chemicals
64,F9995-0122,CC(=O)Nc1ccc(CC(=O)O)cc1,2,2,3,1.2721,66.4,193.202,Life_Chemicals
65,F9995-1104,N#Cc1ccc(CCC(=O)O)cc1,2,1,3,1.57548,61.09,175.187,Life_Chemicals
66,F6096-0237,N#Cc1c[nH]c(=NC(=O)C2CC=CCC2)s1,3,1,1,1.73148,69.00999999999999,233.29599999999996,Life_Chemicals
67,F6112-0114,COCC1CCCN(Cc2cn3ccccc3n2)C1,4,0,4,2.1927000000000003,29.770000000000003,259.35300000000007,Life_Chemicals
68,F3176-0123,CC(C)CN=c1[nH]c2c(=O)n(C)c(=O)n(C)c2[nH]1,5,2,2,-0.5498999999999994,87.94,251.29,Life_Chemicals
69,F6108-0057,COCCN1CCC(NC(=O)C2CCCCC2)CC1,3,1,5,1.7936999999999992,41.57,268.40099999999995,Life_Chemicals
70,F2196-0079,O=C1c2ccccc2C(=O)N1CCN1CCNCC1,4,1,3,0.18780000000000002,52.650000000000006,259.30899999999997,Life_Chemicals
71,F1901-0161,Cc1c(C(=O)O)oc2c1C(O)CCC2,3,2,1,1.65592,70.67,196.20199999999994,Life_Chemicals
72,F3260-0725,CCn1c(=NCCO)[nH]c2c1c(=O)n(C)c(=O)n2C,7,2,3,-1.720299999999998,97.31,267.289,Life_Chemicals
73,F1981-0073,CC(C)OCc1ccc(C(=O)O)o1,3,1,4,1.9028,59.67,184.19099999999997,Life_Chemicals
74,F2158-1727,NCCc1csc2nncn12,5,1,2,0.29199999999999987,56.209999999999994,168.225,Life_Chemicals
75,F1967-0259,Cc1cc(=O)n(CC(=O)O)cn1,4,1,2,-0.36368000000000006,72.19,168.15200000000002,Life_Chemicals
76,F2725-0873,NC(=O)CSc1nc(=O)n(Cc2ccncc2)c2c1CCC2,6,1,5,0.7526999999999995,90.87000000000002,316.3860000000002,Life_Chemicals
77,F3376-1660,Cn1c(=O)c2c(nc3n2CCCN3)n(C)c1=O,7,1,0,-0.7507000000000004,73.85,235.24699999999999,Life_Chemicals
78,F6442-7766,O=S(=O)(c1ccc(Cl)s1)N1CCC(N2CCC(O)C2)CC1,5,1,3,1.6212,60.85000000000001,350.8930000000002,Life_Chemicals
79,F0918-7943,Cc1[nH][nH]c(=O)c1CCC(=O)O,2,3,3,0.028619999999999812,85.95,170.168,Life_Chemicals
80,F2147-0897,O=C(O)c1cc2n(n1)CCCO2,4,1,1,0.36379999999999996,64.35,168.152,Life_Chemicals
81,F1967-1310,Cc1cc(C)n(-c2ccc(N3CCC(C(=O)O)CC3)nn2)n1,6,1,3,1.5801399999999999,84.14,301.35,Life_Chemicals
82,F2805-1733,C=CCNC(=O)CSc1ccnc2c1c(=O)n(C)c(=O)n2C,7,1,5,0.026499999999999746,85.99000000000001,320.3740000000001,Life_Chemicals
83,F6259-1023,Cn1nc(N2CCCC(C(=O)Nc3c[nH]c(=O)[nH]c3=O)C2)ccc1=O,7,3,3,-0.9879999999999989,132.95,346.34700000000015,Life_Chemicals
84,F2184-0213,CNCC1COCCO1,3,1,2,-0.3788,30.49,131.175,Life_Chemicals
