,ID,NEW_SMILES,HBA,HBD,RB,LogP,TPSA,MW,Library
0,P0100550007,CC12CS(=O)(=O)CC1SC(=N)N2,4,2,0,-0.18672999999999995,70.02,206.29200000000003,OTAVA_DNMT1
1,P0103320226,COc1ccc(NC(O)Cc2nc3ccccc3[nH]c2=O)cc1,5,3,5,1.9046999999999996,87.23999999999998,311.341,OTAVA_DNMT1
2,P0103370288,CCOC(=O)C1C(C)=NC(=O)NC1c1ccc(O)cc1,4,2,3,1.7966999999999997,87.99,276.29200000000003,OTAVA_DNMT1
3,P0104550361,CC1(C)N=C(N)N=C(Nc2ccccc2)N1,5,3,1,1.1085,74.8,217.27600000000007,OTAVA_DNMT1
4,P0104910350,Cc1ccc(NC(O)Cc2nc3ccccc3[nH]c2=O)cc1,4,3,4,2.2045199999999996,78.00999999999999,295.34200000000004,OTAVA_DNMT1
5,P0105820394,O=C(COc1cccc(Cl)c1)NCCc1nc2ccccc2[nH]1,3,2,6,2.9540000000000006,67.00999999999999,329.787,OTAVA_DNMT1
6,P0105900002,O=S1(=O)CC(O)C(Nc2cccc(O)c2)C1,5,3,2,-0.03800000000000042,86.63000000000001,243.284,OTAVA_DNMT1
7,P0105900003,O=S1(=O)CC(O)C(Nc2ccccc2O)C1,5,3,2,-0.03800000000000042,86.63000000000001,243.284,OTAVA_DNMT1
8,P0107000036,Cc1cccc(NC(O)Cc2nc3ccccc3[nH]c2=O)c1C,4,3,4,2.5129400000000004,78.00999999999999,309.3690000000001,OTAVA_DNMT1
9,P0107000038,Cc1cc2nc(CC(O)Nc3ccccc3C(F)(F)F)c(=O)[nH]c2cc1C,4,3,4,3.531740000000001,78.01,377.3660000000001,OTAVA_DNMT1
10,P0107050054,O=c1[nH]c2ccccc2nc1CC(O)Nc1ccc(F)cc1,4,3,4,2.0351999999999997,78.01,299.305,OTAVA_DNMT1
11,P0107050060,Cc1cc2nc(CC(O)Nc3cccc(C(F)(F)F)c3)c(=O)[nH]c2cc1C,4,3,4,3.531740000000001,78.01,377.3660000000001,OTAVA_DNMT1
12,P0107490032,O=c1[nH]c2ccccc2nc1CC(O)Nc1ccc(Br)cc1,4,3,4,2.6586,78.01,360.211,OTAVA_DNMT1
13,P0107490033,CCc1ccccc1NC(O)Cc1nc2ccccc2[nH]c1=O,4,3,5,2.4585,78.00999999999999,309.369,OTAVA_DNMT1
14,P0107620153,Cc1ccc(C(C)C)c(OCC(=O)Nc2ccccc2C(N)=O)c1,3,2,6,3.234820000000001,81.41999999999999,326.3960000000001,OTAVA_DNMT1
15,P0107780027,Cc1ccc(NC(O)Cc2nc3cc(C)c(C)cc3[nH]c2=O)cc1,4,3,4,2.8213600000000003,78.00999999999999,323.396,OTAVA_DNMT1
16,P0107780028,Cc1cc2nc(CC(O)Nc3cccc(Cl)c3)c(=O)[nH]c2cc1C,4,3,4,3.166340000000001,78.01,343.81400000000014,OTAVA_DNMT1
17,P0107780029,Cc1cc2nc(CC(O)Nc3ccccc3F)c(=O)[nH]c2cc1C,4,3,4,2.6520400000000004,78.01,327.3590000000001,OTAVA_DNMT1
18,P0107780090,COc1ccccc1NC(=O)Cc1sc(=N)[nH]c1O,5,4,4,1.4510699999999996,98.2,279.321,OTAVA_DNMT1
19,P0108440168,O=C(O)C(CO)N=c1[nH]cnc2ccccc12,4,3,3,-0.09089999999999998,98.57000000000001,233.22700000000003,OTAVA_DNMT1
20,P0108480002,O=c1[nH]c2ccccc2nc1CC(O)Nc1ccc(O)cc1,5,4,4,1.6016999999999997,98.24000000000001,297.31399999999996,OTAVA_DNMT1
21,P0108480005,Cc1cc2nc(CC(O)Nc3ccc(F)cc3)c(=O)[nH]c2cc1C,4,3,4,2.6520400000000004,78.01,327.3590000000001,OTAVA_DNMT1
22,P0109070101,CC(C)CNC1CS(=O)(=O)CC1O,4,2,3,-0.6100999999999996,66.4,207.29499999999996,OTAVA_DNMT1
23,P0109070102,O=S1(=O)CC(O)C(NCc2cccnc2)C1,5,2,3,-0.6709,79.29,242.29999999999998,OTAVA_DNMT1
24,P0109390031,O=c1[nH]c2ccccc2nc1CC(O)Nc1ccccc1SC(F)(F)F,5,3,5,3.508000000000001,78.01,381.379,OTAVA_DNMT1
25,P0109390032,O=c1[nH]c2ccccc2nc1CC(O)Nc1ccc(OC(F)F)cc1,5,3,6,2.4975000000000005,87.24000000000001,347.32099999999997,OTAVA_DNMT1
26,P0109390034,CCOC(=O)c1cc(CC)sc1NC(O)Cc1nc2ccccc2[nH]c1=O,7,3,7,2.6967,104.31,387.46100000000007,OTAVA_DNMT1
27,P0109390035,CSc1ccccc1NC(O)Cc1nc2cc(C)c(C)cc2[nH]c1=O,5,3,5,3.23484,78.00999999999999,355.4630000000001,OTAVA_DNMT1
28,P0111870055,CN(CCO)CC(O)Cn1c2ccc(Cl)cc2c2cc(Cl)ccc21,4,2,6,3.386300000000002,48.63,367.2760000000001,OTAVA_DNMT1
29,P0115520536,Cc1ccccc1OCC(=O)NCCc1nc2ccccc2[nH]1,3,2,6,2.60902,67.00999999999999,309.36899999999997,OTAVA_DNMT1
