,ID,NEW_SMILES,HBA,HBD,RB,LogP,TPSA,MW,Library
0,P0103040312,O=C(O)CCCCCNC(=O)COc1ccc2c(-c3ccccc3)cc(=O)oc2c1,5,2,10,3.6000000000000014,105.84000000000002,409.43800000000016,OTAVA_DNMT3b
1,P0103230772,CC(=O)c1ccc(C(=O)Nc2ccc(S(=O)(=O)N=c3[nH]ccs3)cc2)cc1,5,2,5,2.8207000000000013,108.46000000000001,401.469,OTAVA_DNMT3b
2,P0103230820,O=C(Nc1cccc(-c2nc3ccccc3s2)c1)c1ccc(S(=O)(=O)N2CCCC2)cc1,5,1,5,5.000100000000004,79.36999999999999,463.5840000000003,OTAVA_DNMT3b
3,P0103970198,CCOC(=O)c1c(NC(=O)CCCCCN2C(=O)c3ccccc3C2=O)sc2c1CCC2,6,1,9,4.208600000000004,92.78,454.54800000000023,OTAVA_DNMT3b
4,P0103970448,CC(NS(=O)(=O)c1ccc(Cl)cc1)C(=O)O,3,2,4,1.0914000000000001,83.47,263.702,OTAVA_DNMT3b
5,P0104010006,O=C(CCCCCN1C(=O)c2ccccc2C1=O)NC1CCCC1,3,1,7,2.9018000000000015,66.48,328.41200000000015,OTAVA_DNMT3b
6,P0104970106,CCc1ccccc1NC(=O)CC1CCS(=O)(=O)C1,3,1,4,2.0122999999999998,63.24,281.377,OTAVA_DNMT3b
7,P0104970112,O=C(CC1CCS(=O)(=O)C1)Nc1cccc(Cl)c1Cl,3,1,3,2.7567000000000004,63.24,322.2130000000001,OTAVA_DNMT3b
8,P0104970115,Cc1ccc(NC(=O)CC2CCS(=O)(=O)C2)cc1C,3,1,3,2.06674,63.24,281.377,OTAVA_DNMT3b
9,P0105470041,O=C(CC(c1ccco1)S(=O)(=O)c1ccccc1)c1ccc(F)cc1,4,0,6,4.206700000000003,64.35,358.39000000000004,OTAVA_DNMT3b
10,P0105820051,O=C(CCCCCN1C(=O)c2ccccc2C1=O)Nc1ccc(Cl)c(Cl)c1,3,1,7,4.7885000000000035,66.48,405.28100000000006,OTAVA_DNMT3b
11,P0105820388,CCOC(=O)Cc1csc(=NC(=O)COc2cccc(Cl)c2)[nH]1,5,1,6,2.3415,80.75,354.81499999999994,OTAVA_DNMT3b
12,P0105910419,CCCCOc1ccc(NC(=O)c2ccccc2C(=O)O)cc1,3,2,7,3.8160000000000016,75.63,313.353,OTAVA_DNMT3b
13,P0105920027,COc1ccc2oc(C)c(C(=O)O)c2c1,3,1,2,2.4480199999999996,59.67,206.19699999999997,OTAVA_DNMT3b
14,P0107710001,CCOc1ccc2oc(C)c(C(=O)O)c2c1,3,1,3,2.838120000000001,59.67,220.22399999999996,OTAVA_DNMT3b
15,P0107780062,CCN=c1sc(CC(=O)Nc2cccc(C(=O)O)c2)c(O)n1CC,6,3,6,2.0751,103.92000000000002,349.4120000000001,OTAVA_DNMT3b
16,P0107780089,O=C(Cc1sc(=Nc2ccccc2)n(-c2ccccc2)c1O)Nc1cccc(C(=O)O)c1,6,3,6,4.356200000000003,103.92,445.50000000000017,OTAVA_DNMT3b
17,P0107880013,CC(=O)OC1CS(=O)(=O)CC1Nc1ccccc1,5,1,3,0.8271999999999997,72.47,269.322,OTAVA_DNMT3b
18,P0108610026,O=C(O)CCCCCN=c1[nH]c(-c2ccccc2)nc2ccccc12,3,2,7,3.7756000000000025,78.33999999999999,335.4070000000001,OTAVA_DNMT3b
19,P0109070027,CC(=O)c1cccc(NC2CS(=O)(=O)CC2O)c1,5,2,3,0.4589999999999997,83.47,269.32199999999995,OTAVA_DNMT3b
