,ID,NEW_SMILES,HBA,HBD,RB,LogP,TPSA,MW,Library
0,TL0007,O=C(C=Cc1ccc(O)cc1)CC(=O)C=Cc1ccc(O)cc1,4,2,6,3.3527000000000022,74.6,308.333,Targetmol
1,T7089,Cc1cc(C)cc(Oc2ccc(CNC(=O)C(C)N)cc2C)c1,3,2,5,3.367560000000001,64.35,312.41300000000007,Targetmol
2,T7082,COc1ccc(C=CC(O)=NO)c(-c2ccc(-c3ccccc3)cc2)c1,3,2,5,5.388100000000004,62.05,345.398,Targetmol
3,T7042,O=c1[nH]ccc2c(O)cccc12,2,2,0,1.2336999999999998,53.09,161.16,Targetmol
4,T6984,Cc1cc(C)nc(SCC(=O)N=c2[nH]cc(Cc3cccc4ccccc34)s2)n1,5,1,5,4.446640000000004,71.0,420.5630000000001,Targetmol
5,T6980,O=C1c2cccc3cccc(c23)C(=O)N1CCCCCC(O)=NO,4,2,6,3.3419000000000008,90.2,326.352,Targetmol
6,T6961,NC(Cc1ccc([N+]([O-])(CCCl)CCCl)cc1)C(=O)O,3,2,8,1.9237,86.38000000000001,321.204,Targetmol
7,T6939,O=C(C=CN1CC2CC1CN2c1ccccn1)c1ccccc1O,5,1,4,2.446700000000001,56.67,321.38000000000005,Targetmol
8,T6922,NC1CCC(NC2CC2c2ccccc2)CC1,2,2,3,2.402,38.05,230.355,Targetmol
9,T6916,CN1CCN(c2ccc(-c3cccc(CN4CCOCC4)c3)cc2NC(=O)c2c[nH]c(=O)cc2C(F)(F)F)CC1,6,2,6,3.897000000000002,80.91,555.6010000000001,Targetmol
10,T6900,CC(C)Oc1ccc(C2=C(CN(C)CCN)CN=C2)cc1,4,1,7,2.2023,50.85,287.4069999999999,Targetmol
11,T6892,NC(=O)c1cccc2cn(-c3ccc(C4CCCNC4)cc3)nc12,4,2,3,2.591400000000001,72.94,320.396,Targetmol
12,T6890,COC12C(=COC(N)=O)c3c(O)c(N)c(C)c(O)c3N1CC1NC12,8,5,2,-0.05868000000000023,153.21,334.33200000000005,Targetmol
13,T6879,Cc1cn(CCN2CCN(c3ccccc3-c3cc(C#N)cc(C(=O)NCCCN4CCCC4)c3)CC2)c2ccccc12,6,1,10,5.526300000000005,67.53999999999999,574.7730000000006,Targetmol
14,T6857,CCn1c2ccccc2c2cc(CNCc3ccccc3OC)ccc21,3,1,6,5.112800000000004,26.19,344.4580000000001,Targetmol
15,T6853,O=C(CNC(O)c1cc[nH]c(=NC2CCC2)c1)CN1CCc2ccccc2C1,5,3,7,1.6757999999999995,80.72,380.49200000000013,Targetmol
