LogP,TPSA,MW,Library,HBA,HBD,RB
-5.6218,702.02,1620.693,APEXBIO,24,22,35
-1.45823,111.33,263.2,APEXBIO,6,4,2
4.9323,72.16,515.617,APEXBIO,6,1,5
-0.7514,212.39,543.525,APEXBIO,12,8,5
3.245,45.75,312.316,APEXBIO,3,1,1
-2.30843,124.22,228.208,APEXBIO,7,4,2
-3.33763,144.45,244.207,APEXBIO,8,5,2
3.5416,190.33,504.498,APEXBIO,7,6,4
3.2873,69.22,490.652,APEXBIO,7,1,6
5.53136,69.37,456.999,APEXBIO,7,0,3
2.16847,90.44,326.179,APEXBIO,5,3,3
2.4598,90.47,334.331,APEXBIO,3,2,4
5.2574,65.98,509.739,APEXBIO,6,1,9
-2.1452,104.81,228.204,APEXBIO,7,3,2
0.3259,74.6,144.126,APEXBIO,2,2,2
1.3128,141.34,302.194,APEXBIO,8,4,0
2.2332,197.37,458.375,APEXBIO,11,8,3
1.2604,83.8,244.298,APEXBIO,3,3,2
3.46638,83.18,306.373,APEXBIO,5,1,4
3.2093,174.89,587.549,APEXBIO,9,4,14
6.37898,84.23,505.699,APEXBIO,5,0,1
1.09568,120.56,371.426,APEXBIO,7,1,5
1.1982,85.94,380.358,APEXBIO,6,3,1
3.7166,40.8,348.378,APEXBIO,4,0,2
3.3699,93.06,368.385,APEXBIO,6,2,8
4.8704,65.79,461.949,APEXBIO,4,1,3
-0.556,69.64,160.173,APEXBIO,3,2,4
4.62746,95.05,526.685,APEXBIO,6,3,7
4.31022,99.15,541.7,APEXBIO,7,2,8
2.5181,79.73,297.314,APEXBIO,5,2,3
3.6472,44.62,375.567,APEXBIO,7,0,3
2.5914,72.94,320.396,APEXBIO,4,2,3
4.1952,68.1,490.558,APEXBIO,7,1,5
5.53396,92.4,492.004,APEXBIO,7,2,4
3.9942,61.54,309.344,APEXBIO,2,2,0
2.5215,97.45,393.495,APEXBIO,5,3,3
3.50612,84.22,339.439,APEXBIO,3,3,8
4.6577,50.28,372.472,APEXBIO,5,1,0
4.97422,84.65,516.652,APEXBIO,9,1,6
3.5481,71.77,406.36,APEXBIO,5,1,3
4.831,59.13,529.729,APEXBIO,5,1,6
2.8362,94.64,444.539,APEXBIO,6,3,5
2.1398,117.49,437.552,APEXBIO,7,3,6
3.605,75.43,379.485,APEXBIO,5,2,3
4.20648,97.11,360.394,APEXBIO,5,3,2
2.9787,106.16,521.666,APEXBIO,7,2,6
4.9724,110.94,433.512,APEXBIO,6,3,11
3.3114,81.92,264.325,APEXBIO,3,3,8
3.4071,109.05,396.454,APEXBIO,5,3,5
2.6683,98.8,394.479,APEXBIO,7,3,6
3.392,66.98,296.326,APEXBIO,4,2,4
4.4602,112.32,434.496,APEXBIO,6,3,10
5.1241,94.39,421.497,APEXBIO,5,3,8
3.4192,74.82,314.316,APEXBIO,4,2,5
4.0796,73.88,358.486,APEXBIO,5,2,10
2.8463,98.99,318.354,APEXBIO,4,3,5
2.7187,142.21,508.564,APEXBIO,12,2,7
2.997,107.53,397.431,APEXBIO,6,3,8
2.2874,37.3,144.214,APEXBIO,1,1,5
3.15312,62.05,243.69,APEXBIO,3,2,5
3.3713,60.99,335.407,APEXBIO,4,2,3
2.4795,84.22,269.304,APEXBIO,3,3,3
3.5638,92.08,379.46,APEXBIO,4,4,9
3.7587,81.92,312.369,APEXBIO,3,3,5
2.7786,85.16,307.394,APEXBIO,4,3,9
3.3419,90.2,326.352,APEXBIO,4,2,6
2.0939,37.3,164.204,APEXBIO,1,1,4
5.168,109.16,518.932,APEXBIO,6,2,5
2.92512,105.3,464.599,APEXBIO,7,3,6
2.9218,131.52,507.57,APEXBIO,7,4,12
4.1573,101.07,513.598,APEXBIO,7,2,9
5.2899,90.7,476.87,APEXBIO,4,2,3
0.47027,149.95,394.363,APEXBIO,6,4,3
2.669,101.88,474.565,APEXBIO,7,3,6
2.0691,110.96,381.44,APEXBIO,5,4,5
5.7901,97.79,516.667,APEXBIO,5,3,8
5.88909,115.69,503.591,APEXBIO,7,3,5
5.1312,87.57,461.946,APEXBIO,5,2,6
3.9436,98.29,430.946,APEXBIO,5,3,4
3.8461,104.68,501.635,APEXBIO,6,4,6
2.7787,61.02,332.407,APEXBIO,3,2,3
4.61754,95.16,504.656,APEXBIO,5,2,5
2.32319,93.15,368.466,APEXBIO,6,3,3
4.559,108.95,588.087,APEXBIO,5,3,7
2.59582,76.2,375.48,APEXBIO,5,2,4
2.9834,96.51,497.028,APEXBIO,7,2,5
3.75782,80.56,551.493,APEXBIO,8,1,5
1.54478,88.91,312.377,APEXBIO,5,1,3
3.66742,114.94,524.691,APEXBIO,6,3,8
1.85112,110.76,348.773,APEXBIO,5,3,3
2.32118,93.35,294.31,APEXBIO,4,3,4
3.62848,65.78,356.223,APEXBIO,3,1,4
2.39908,106.4,414.469,APEXBIO,6,2,5
2.94462,108.95,509.68,APEXBIO,6,3,5
2.7171,86.07,462.579,APEXBIO,7,1,4
3.45024,86.6,469.952,APEXBIO,6,2,5
3.2806,79.73,376.21,APEXBIO,5,2,3
5.3232,20.31,331.459,APEXBIO,2,0,7
2.91732,89.03,432.532,APEXBIO,7,1,5
2.3474,86.37,434.471,APEXBIO,4,1,4
2.9793,56.92,323.371,APEXBIO,2,3,3
1.2983,86.23,292.032,APEXBIO,3,1,2
2.5083,50.16,320.396,APEXBIO,4,1,3
2.1814,65.2,295.342,APEXBIO,3,2,3
2.8924,83.8,324.359,APEXBIO,3,3,3
0.3677,69.11,136.154,APEXBIO,2,2,1
2.7898,59.16,279.295,APEXBIO,3,1,4
2.904,75.29,395.434,APEXBIO,4,1,4
3.15367,151.96,562.719,APEXBIO,9,5,8
3.44527,151.52,618.577,APEXBIO,8,6,9
1.78138,127.7,305.29,APEXBIO,6,2,5
2.68277,151.52,539.681,APEXBIO,8,6,9
4.88574,92.25,539.68,APEXBIO,6,2,7
0.42806,84.11,167.197,APEXBIO,3,4,0
3.6635,87.45,469.574,APEXBIO,8,2,5
2.7265,58.88,248.713,APEXBIO,1,2,1
2.9738,60.69,228.247,APEXBIO,3,3,2
5.787,61.69,394.474,APEXBIO,3,2,5
2.4733,87.74,347.396,APEXBIO,4,2,4
1.76994,130.81,404.452,APEXBIO,7,2,4
2.85552,108.75,352.346,APEXBIO,5,3,5
3.6178,49.69,302.414,APEXBIO,3,2,1
1.5698,108.63,352.346,APEXBIO,5,3,5
2.9308,83.47,417.513,APEXBIO,6,1,6
2.4523,94.47,389.459,APEXBIO,5,2,5
3.4705,57.92,405.424,APEXBIO,5,1,4
3.0293,46.17,273.235,APEXBIO,3,1,1
4.0693,70.23,369.49,APEXBIO,3,3,3
-0.05868,153.21,334.332,APEXBIO,8,5,2
6.7241,57.53,348.527,APEXBIO,2,2,15
5.47604,65.55,509.05,APEXBIO,7,0,8
2.0972,108.9,451.57,APEXBIO,7,1,10
2.87094,91.15,294.351,APEXBIO,4,3,8
5.0368,62.29,390.574,APEXBIO,4,1,9
2.3383,62.55,174.159,APEXBIO,4,1,1
2.0184,105.64,204.226,APEXBIO,4,4,7
4.10492,84.22,339.439,APEXBIO,3,3,8
9.4634,146.64,721.876,APEXBIO,9,4,16
2.0388,72.46,485.677,APEXBIO,8,1,8
5.4446,72.46,621.915,APEXBIO,8,1,10
-1.5514,81.7,175.14,APEXBIO,5,1,2
4.9384,92.34,570.394,APEXBIO,6,2,11
2.9485,28.68,188.321,APEXBIO,3,1,4
4.581,0,557.538,APEXBIO,0,0,0
2.9926,128.97,514.659,APEXBIO,7,3,4
3.2085,17.07,182.222,APEXBIO,1,0,2
4.04868,76.88,367.202,APEXBIO,3,2,2
0.9231,45.75,146.149,APEXBIO,2,1,0
4.0187,89.8,434.492,APEXBIO,5,2,7
5.2695,90.21,521.602,APEXBIO,8,0,8
5.1523,53.16,463.217,APEXBIO,2,3,5
4.0024,166.58,459.461,APEXBIO,8,3,4
1.41457,137.87,425.493,APEXBIO,9,4,5
1.544,75.01,361.373,APEXBIO,6,1,2
1.2188,62.3,291.376,APEXBIO,4,1,2
3.3425,106.34,376.416,APEXBIO,5,3,6
1.7872,143.03,540.708,APEXBIO,8,3,3
4.16752,80.64,349.434,APEXBIO,3,4,7
-0.96093,118.15,262.269,APEXBIO,6,5,2
3.4196,73.13,302.374,APEXBIO,4,2,6
-2.8243,156.85,258.234,APEXBIO,8,5,3
1.51902,111.13,302.282,APEXBIO,6,4,2
4.354,69.45,466.541,APEXBIO,6,2,2
4.73466,86.9,572.75,APEXBIO,6,2,9
4.6845,54.71,396.874,APEXBIO,4,1,5
6.06978,107.34,554.525,APEXBIO,5,2,6
2.6914,26.3,198.221,APEXBIO,2,0,0
4.7813,73.47,454.64,APEXBIO,4,3,8
4.59648,62.75,378.435,APEXBIO,4,1,2
3.6415,70.13,412.493,APEXBIO,4,2,6
3.6501,79.36,442.519,APEXBIO,5,2,7
-2.73263,131.56,243.219,APEXBIO,7,5,2
2.4301,94.22,438.491,APEXBIO,6,2,3
3.78338,107.87,448.548,APEXBIO,6,2,7
1.15697,74.26,196.641,APEXBIO,2,3,2
4.4699,94.83,344.492,APEXBIO,3,3,14
2.8482,46.09,305.381,APEXBIO,4,0,3
3.9697,72.94,362.408,APEXBIO,4,2,6
5.3571,90.14,514.529,APEXBIO,7,1,6
3.4541,64.59,431.924,APEXBIO,5,1,4
2.7331,74.85,321.38,APEXBIO,3,2,5
2.5445,36.44,338.249,APEXBIO,3,0,2
3.58262,94.44,468.565,APEXBIO,7,2,2
3.31592,133.26,383.433,APEXBIO,6,3,4
6.0035,69.64,434.923,APEXBIO,3,2,4
4.10922,90.68,390.487,APEXBIO,4,2,6
3.67496,86.16,399.907,APEXBIO,6,1,3
4.53482,85.34,525.535,APEXBIO,9,0,7
5.6922,72.46,635.942,APEXBIO,8,1,11
1.3971,99.9,425.514,APEXBIO,6,1,4
4.8894,41.99,380.919,APEXBIO,2,1,4
4.323,55.55,399.498,APEXBIO,6,0,6
0.02687,100.28,205.265,APEXBIO,1,4,3
4.1967,95.08,496.999,APEXBIO,7,2,7
2.7537,62.05,223.272,APEXBIO,3,2,6
